"CODIGOMATERIA","MATERIA","DIFICULTAD"
ARTG2030       ,INVESTIGACIÓN AUDIOVISUAL,7.86
ARTG2032       ,TALLER DE ILUSTRACIÓN,8.21
ARTG2033       ,TÉCNICAS PICTÓRICAS,8.22
AUDG2026       ,AUDITORÍA DE SISTEMAS INTEGRADOS,9.67
AUDG2027       ,AUDITORÍA FINANCIERA I,8.75
AUDG2028       ,AUDITORÍA FINANCIERA II,8.18
AUDG2030       ,AUDITORÍA OPERACIONAL,7.79
AUDG2032       ,CONTABILIDAD AVANZADA,7.28
AUDG2033       ,CONTABILIDAD DE COSTOS,8.49
AUDG2034       ,CONTABILIDAD FINANCIERA,7.84
AUDG2035       ,CONTABILIDAD I,8.63
AUDG2036       ,CONTABILIDAD II,8.07
AUDG2037       ,CONTABILIDAD III,7.26
AUDG2038       ,CONTROL INTERNO,9.17
AUDG2039       ,FUNDAMENTOS DE AUDITORÍA,8.33
AUDG2040       ,MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,9.53
AUDG2041       ,PRÁCTICA TRIBUTARIA,8.62
AUDG2042       ,SISTEMAS DE CONTROL DE GESTIÓN,9.64
AUDG2043       ,INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,8.33
AUDG2044       ,GESTIÓN DE LA PRODUCTIVIDAD,8.53
BIOG1021       ,BIOLOGÍA CELULAR Y MOLECULAR,8.18
BIOG1022       ,BIOLOGÍA GENERAL,8.24
BIOG1023       ,FISIOLOGÍA ANIMAL,8.29
BIOG1024       ,BIOQUÍMICA,8.40
BIOG1025       ,INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,9.46
BIOG1026       ,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,8.54
BIOG1027       ,MATERIA INTEGRADORA DE BIOLOGÍA,9.27
BIOG1028       ,MICROBIOLOGÍA GENERAL,8.24
BIOG1029       ,VIROLOGÍA,7.38
BIOG1030       ,BIOINFORMÁTICA,8.09
CADG2025       ,ANIMACIÓN I,7.23
CADG2026       ,ANIMACIÓN II,7.28
CADG2027       ,DIRECCIÓN AUDIOVISUAL,8.21
CADG2028       ,DIRECCIÓN ESCÉNICA,7.76
CADG2029       ,DISEÑO DE PRODUCCIÓN,8.17
CADG2030       ,EDICIÓN Y MONTAJE,8.16
CADG2031       ,FOTOGRAFÍA PARA MEDIOS,7.18
CADG2032       ,GUION,7.91
CADG2033       ,LEGISLACIÓN AUDIOVISUAL,6.93
CADG2034       ,NARRATIVA AUDIOVISUAL,8.87
CADG2035       ,POSTPRODUCCIÓN,8.49
CADG2036       ,PREPRODUCCIÓN,8.40
CADG2037       ,PRODUCCIÓN EJECUTIVA,7.13
CADG2038       ,PRODUCCIÓN PARA NUEVOS MEDIOS,8.04
CADG2039       ,PROYECTO AUDIOVISUAL I,8.40
CADG2040       ,PROYECTO AUDIOVISUAL II,8.32
CADG2042       ,DISEÑO DE SONIDO,6.99
CADG2043       ,MATERIA INTEGRADORA DE PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,8.45
CADG2045       ,FOTOGRAFÍA DIGITAL,8.64
CADG2046       ,VIDEOGRAFÍA,7.64
CCAG1002       ,EXTENSIONISMO,8.96
CCAG2021       ,SEMIÓTICA,7.86
CCAG2022       ,ESTUDIO DE CASOS DE CIENCIAS SOCIALES,8.71
CCAG2023       ,SOCIOLOGÍA,8.46
CCPG1034       ,ESTRUCTURAS DE DATOS,6.94
CCPG1035       ,MATERIA INTEGRADORA DE COMPUTACIÓN,8.89
CCPG1036       ,ANÁLISIS DE ALGORITMOS,7.33
CCPG1039       ,COMPUTACIÓN Y SOCIEDAD,8.23
CCPG1041       ,DIRECCIÓN DE PROYECTOS INFORMÁTICOS,7.36
CCPG1042       ,DISEÑO DE SOFTWARE,7.52
CCPG1043       ,FUNDAMENTOS DE PROGRAMACIÓN,6.21
CCPG1044       ,INTELIGENCIA ARTIFICIAL,6.78
CCPG1046       ,INTERACCIÓN HUMANO COMPUTADOR,8.04
CCPG1048       ,METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,7.25
CCPG1049       ,ORGANIZACIÓN DE COMPUTADORES,7.95
CCPG1051       ,PROGRAMACIÓN DE SISTEMAS,7.10
CCPG1052       ,PROGRAMACIÓN ORIENTADA A OBJETOS,6.97
CCPG1053       ,SEGURIDAD DE LA INFORMACIÓN,9.09
CCPG1054       ,SISTEMAS DE INFORMACIÓN,8.27
CCPG1055       ,SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,8.34
CCPG1056       ,SISTEMAS OPERATIVOS,6.24
CCPG1058       ,SISTEMAS DE INFORMACIÓN APLICADOS A LOGÍSTICA,7.88
CCPG1059       ,AUDITORÍA DE SISTEMAS DE INFORMACIÓN,8.71
CCPG1801       ,FUNDAMENTOS DE PROGRAMACIÓN,6.60
CCPG1803       ,PROGRAMACIÓN ORIENTADA A OBJETOS,7.63
CCPT3003       ,OPERACIÓN DE COMPUTADORES,9.21
CCPT3004       ,FUNDAMENTOS DE COMPUTACIÓN,8.22
CIVG1034       ,ANÁLISIS ESTRUCTURAL,7.29
CIVG1035       ,DIBUJO TÉCNICO Y PLANOS,7.67
CIVG1036       ,DISEÑO DE PAVIMENTOS,8.04
CIVG1037       ,DISEÑO DE PUENTES,7.94
CIVG1038       ,DISEÑO DE VÍAS,7.52
CIVG1039       ,DISEÑO ESTRUCTURAL,7.79
CIVG1040       ,ESTRUCTURAS METÁLICAS,7.20
CIVG1041       ,GESTIÓN DE OBRAS CIVILES,8.88
CIVG1043       ,HIDROLOGÍA,7.62
CIVG1044       ,HIDRÁULICA,6.92
CIVG1045       ,HORMIGÓN ARMADO,7.44
CIVG1046       ,HORMIGÓN PREFORZADO,8.03
CIVG1047       ,HORMIGÓN Y MATERIALES DE CONSTRUCCIÓN,7.96
CIVG1049       ,INGENIERÍA DE CIMENTACIÓN,7.86
CIVG1050       ,INGENIERÍA DE LA CONSTRUCCIÓN,8.71
CIVG1053       ,INSTALACIONES,8.73
CIVG1054       ,MATERIA INTEGRADORA DE INGENIERÍA CIVIL,8.70
CIVG1055       ,POTABILIZACIÓN Y TRATAMIENTO DEL AGUA,7.92
CIVG1056       ,RESISTENCIA DE MATERIALES,7.16
CIVG1058       ,SISTEMAS DE RECOLECCIÓN Y DISTRIBUCIÓN DE AGUA,7.14
CIVG1059       ,TOPOGRAFÍA,8.54
CIVG1060       ,MECÁNICA DE SUELOS Y ROCAS,7.17
COMG2002       ,TEORÍA DE LA COMUNICACIÓN,7.52
DIGG2023       ,DIRECCIÓN DE ARTE,7.62
DIGG2025       ,DISEÑO DE INFORMACIÓN,7.57
DIGG2026       ,DISEÑO DE MARCA,8.28
DIGG2027       ,DISEÑO EDITORIAL,7.86
DIGG2028       ,DISEÑO ESTRATÉGICO,8.26
DIGG2029       ,DISEÑO GRÁFICO I,7.45
DIGG2030       ,DISEÑO GRÁFICO II,7.87
DIGG2031       ,DISEÑO GRÁFICO III,8.26
DIGG2032       ,DISEÑO GRÁFICO IV,8.06
DIGG2033       ,HISTORIA DEL DISEÑO,6.56
DIGG2034       ,MATERIA INTEGRADORA DE DISEÑO GRÁFICO,7.94
DIGG2035       ,PROYECTO DE DISEÑO,8.62
DIGG2036       ,TIPOGRAFÍA,7.49
DIGG2037       ,TÉCNICAS DE IMPRESIÓN,8.68
DIGG2039       ,REDACCIÓN CREATIVA,7.43
DIGG2040       ,ANTROPOLOGÍA DEL DISEÑO,6.55
DIGG2041       ,INVESTIGACIÓN APLICADA AL DISEÑO,7.60
DING2023       ,DISEÑO DE PRODUCTOS I,7.33
DING2024       ,DISEÑO DE PRODUCTOS II,7.24
DING2025       ,DISEÑO DE PRODUCTOS III,7.49
DING2026       ,DISEÑO DE PRODUCTOS IV,7.87
DING2027       ,DISEÑO DIGITAL,7.51
DING2028       ,ERGONOMÍA,8.17
DING2029       ,ESTRUCTURAS Y MECANISMOS I,6.63
DING2030       ,ESTRUCTURAS Y MECANISMOS II,6.67
DING2031       ,HISTORIA DEL DISEÑO INDUSTRIAL,7.34
DING2032       ,MATERIA INTEGRADORA DE DISEÑO DE PRODUCTOS,8.25
DING2033       ,MATERIALES Y MANUFACTURA I,6.76
DING2034       ,MATERIALES Y MANUFACTURA II,7.55
DING2035       ,MATERIALES Y MANUFACTURA III,8.62
DING2036       ,MODELADO TRIDIMENSIONAL,7.42
DING2037       ,PORTAFOLIO,7.98
DING2038       ,PROTOTIPADO AVANZADO,7.99
DING2039       ,TALLER DE DISEÑO I,8.05
DING2040       ,TALLER DE DISEÑO II,7.91
DING2041       ,TALLER DE DISEÑO III,8.36
DING2042       ,TALLER DE DISEÑO IV,8.08
DING2043       ,TEORÍA DEL DISEÑO,7.87
ECOG1008       ,PROYECTOS AGRÍCOLAS,8.57
ECOG1009       ,EVALUACIÓN DE PROYECTOS HIDROCARBURÍFEROS,8.07
ECOG2041       ,GESTIÓN DEL DISEÑO,8.50
ECOG2042       ,ANÁLISIS FINANCIERO,7.34
ECOG2043       ,CRECIMIENTO Y DESARROLLO ECONÓMICO,8.45
ECOG2044       ,ECONOMETRÍA I,7.93
ECOG2045       ,ECONOMETRÍA II,6.83
ECOG2046       ,ECONOMETRÍA III,7.07
ECOG2047       ,ECONOMÍA GERENCIAL,7.68
ECOG2049       ,ECONOMÍA MATEMÁTICA,7.66
ECOG2051       ,FINANZAS INTERNACIONALES,8.39
ECOG2053       ,MATERIA INTEGRADORA DE ECONOMÍA,8.45
ECOG2054       ,PRESUPUESTO,7.81
ECOG2055       ,FUNDAMENTOS DE INVERSIONES,8.40
ECOG2057       ,FORMULACION Y EVALUACIÓN SOCIAL DE PROYECTOS,7.39
ECOG2058       ,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,7.98
ECOG2059       ,MACROECONOMÍA III,8.34
ECOG2060       ,MICROECONOMÍA III,6.78
ECOG2061       ,MACROECONOMÍA II,8.35
ECOG2062       ,MICROECONOMÍA II,6.83
ECOG2063       ,MACROECONOMÍA I,8.49
ECOG2064       ,MICROECONOMÍA I,7.10
ECOG2065       ,GESTIÓN TRIBUTARIA,7.47
ECOG2066       ,PLANIFICACIÓN Y CONTROL FINANCIERO,7.57
ECOG2067       ,INTRODUCCIÓN A LA ECONOMÍA,7.43
ECOG2068       ,ORGANIZACIÓN INDUSTRIAL,7.21
ECOG2069       ,HISTORIA Y FILOSOFÍA DEL PENSAMIENTO ECONÓMICO,7.81
EDCOM00281     ,GESTIÓN Y CONTROL DE PROYECTOS,7.38
ELEG1028       ,ANÁLISIS DE REDES ELÉCTRICAS,5.97
ELEG1029       ,CENTRALES ELÉCTRICAS,7.16
ELEG1030       ,CIRCUITOS ELÉCTRICOS,6.34
