"CODIGOMATERIA","MATERIA","REPROBADOS","REGISTRADOS","TASA_RP"
MTRG1023       ,ANÁLISIS DE FALLAS Y SELECCIÓN DE MATERIALES,1,41,2.44
MTRG1024       ,CIENCIA E INGENIERÍA DE MATERIALES,27,443,6.09
MTRG1025       ,COMPORTAMIENTO MECÁNICO,11,62,17.74
MTRG1026       ,CORROSIÓN Y DEGRADACIÓN DE MATERIALES,0,39,0.00
MTRG1027       ,DISEÑO DE MATERIALES COMPUESTOS,2,41,4.88
MTRG1028       ,ESTRUCTURA Y CARACTERIZACIÓN DE MATERIALES,7,66,10.61
MTRG1029       ,INGENIERÍA DE CERÁMICOS,1,51,1.96
MTRG1030       ,INGENIERÍA DE METALES,1,48,2.08
MTRG1031       ,INGENIERÍA DE POLÍMEROS,0,47,0.00
MTRG1032       ,INTRODUCCIÓN A LA INGENIERÍA EN MATERIALES,0,69,0.00
MTRG1034       ,MATERIA INTEGRADORA DE MATERIALES,0,33,0.00
MTRG1036       ,SOLDADURA Y ENSAYOS NO DESTRUCTIVOS,0,43,0.00
MTRG1037       ,PROPIEDADES  FUNCIONALES DE LOS  MATERIALES,6,48,12.50
MTRG1038       ,SÍNTESIS DE MATERIALES,5,58,8.62
MTRG1039       ,TRANSFORMACIONES DE FASES,13,73,17.81
MTRG1040       ,TERMODINÁMICA DE MATERIALES,14,74,18.92
MTRG1041       ,NANOTECNOLOGÍA Y NANOMATERIALES,2,42,4.76
NAVG1025       ,CONSTRUCCIONES METÁLICAS DE BUQUES,7,108,6.48
NAVG1027       ,DINÁMICA DEL BUQUE,10,98,10.20
NAVG1028       ,DISEÑO DE BUQUES,14,105,13.33
NAVG1029       ,ELECTRICIDAD Y ELECTRÓNICA PARA BUQUES,9,157,5.73
NAVG1030       ,ESTABILIDAD DEL BUQUE,49,128,38.28
NAVG1031       ,ESTRUCTURA DEL BUQUE,143,253,56.52
NAVG1032       ,FORMAS E HIDROSTÁTICA DEL BUQUE,96,186,51.61
NAVG1033       ,GESTIÓN MARÍTIMA PORTUARIA,33,119,27.73
NAVG1034       ,MATERIA INTEGRADORA DE INGENIERÍA NAVAL,5,90,5.56
NAVG1035       ,TRANSPORTE MARÍTIMO,0,81,0.00
NAVG1037       ,MAQUINARIA MARÍTIMA II,6,88,6.82
NAVG1038       ,RESISTENCIA Y PROPULSIÓN DE BUQUES,40,131,30.53
NAVG1039       ,MAQUINARIA MARÍTIMA I,18,122,14.75
NAVG1040       ,MATERIALES EN MEDIOS MARINOS,54,185,29.19
NAVG1041       ,VIBRACIONES MECÁNICAS,72,152,47.37
NAVG1042       ,ELEMENTOS FINITOS,14,114,12.28
NAVT3001       ,SISTEMAS PORTUARIOS,0,16,0.00
NAVT3002       ,INTRODUCCIÓN A LA LOGÍSTICA PORTUARIA,0,16,0.00
NAVT3003       ,ESTRUCTURA DE BUQUES,0,16,0.00
NUTG2026       ,BIOÉTICA,1,338,0.30
NUTG2027       ,DIETOTERAPIA AVANZADA,5,246,2.03
NUTG2028       ,DIETOTERAPIA BÁSICA,7,277,2.53
NUTG2029       ,EVALUACIÓN DEL ESTADO NUTRICIONAL I,3,289,1.04
NUTG2030       ,EVALUACIÓN DEL ESTADO NUTRICIONAL II,5,252,1.98
NUTG2031       ,MATERIA INTEGRADORA DE NUTRICIÓN Y DIETÉTICA,11,247,4.45
NUTG2032       ,NUTRICIÓN CLÍNICA I,12,298,4.03
NUTG2033       ,NUTRICIÓN CLÍNICA II,9,248,3.63
NUTG2034       ,NUTRICIÓN CLÍNICA III,2,194,1.03
NUTG2035       ,NUTRICIÓN DEPORTIVA,2,232,0.86
NUTG2036       ,NUTRICIÓN EN EL CICLO DE LA VIDA I,15,299,5.02
