CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
INDG1041,G,INVESTIGACIÓN DE OPERACIONES,2020,0S,"7,19"
INDG1042,G,LOGÍSTICA Y SERVICIO AL CLIENTE,2020,0S,"7,54"
INDG1043,T,MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL,2020,0S,"8,20"
INDG1044,G,METODOLOGÍAS PARA LA MEJORA CONTINUA,2020,0S,"8,03"
INDG1045,G,MODELOS ESTOCÁSTICOS PARA MANUFACTURA Y SERVICIOS,2020,0S,"7,47"
INDG1046,G,MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA,2020,0S,"8,51"
INDG1047,G,PLANIFICACIÓN DE LA PRODUCCIÓN,2020,0S,"7,25"
INDG1048,G,PROYECTOS INDUSTRIALES,2020,0S,"8,24"
INDG1051,G,PROGRAMACIÓN ENTERA PARA INGENIERÍA,2020,0S,"7,51"
INDG1052,G,SIMULACIÓN,2020,0S,"7,95"
INDG1053,G,SISTEMAS DE CONTROL DE PRODUCCIÓN,2020,0S,"6,78"
INDG1054,G,SEGURIDAD Y SALUD OCUPACIONAL,2020,0S,"8,28"
INDG1055,G,PROCESOS INDUSTRIALES,2020,0S,"8,11"
INDG1056,G,PRONÓSTICO Y CONTROL DE INVENTARIO,2020,0S,"6,94"
INDG1057,G,INGENIERÍA DE LA CALIDAD,2020,0S,"7,84"
INDG1058,G,SISTEMAS Y PROGRAMACIÓN DE PRODUCCIÓN,2020,0S,"8,02"
INDG1060,G,ADMINISTRACIÓN LOGÍSTICA,2020,0S,"8,01"
INDG1061,G,HSEQ EN LA INDUSTRIA HIDROCARBURÍFERA,2020,0S,"8,98"
INDG1801,G,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,2024,0S,"6,99"
INDT3002,G,SEGURIDAD Y SALUD OCUPACIONAL,2023,0S,"8,83"
JURG2004,G,DERECHO ECONÓMICO,2020,0S,"8,08"
JURG2005,G,DERECHO SOCIETARIO Y LABORAL,2020,0S,"8,84"
JURG2006,G,DERECHO TRIBUTARIO,2020,0S,"8,39"
LOGG1016,G,TRANSPORTE MULTIMODAL,2020,0S,"8,93"
LOGG1017,G,LOGÍSTICA I,2020,0S,"7,50"
LOGG1018,G,LOGÍSTICA II,2020,0S,"7,50"
LOGG1019,G,SISTEMAS DE TRANSPORTE,2020,0S,"7,73"
LOGG1020,G,MODELIZACIÓN DEL TRANSPORTE,2020,0S,"6,45"
LOGG1021,G,GESTIÓN DE BODEGAS Y ABASTECIMIENTO,2020,0S,"7,24"
LOGG1022,G,TRANSPORTE URBANO,2020,0S,"7,14"
LOGG1023,G,PRESUPUESTOS Y PROYECTOS LOGÍSTICOS,2021,0S,"7,20"
LOGG1024,G,INGENIERÍA DE TRÁNSITO,2020,0S,"6,89"
LOGG1027,T,MATERIA INTEGRADORA DE LOGÍSTICA Y TRANSPORTE,2020,0S,"8,04"
LOGT3002,G,INGRESO Y SALIDA DE NAVES,2024,0S,"9,26"
LOGT3005,G,TRANSPORTE MULTIMODAL,2025,0S,"8,71"
LOGT3006,G,CIENCIAS NÁUTICAS,2024,0S,"9,90"
LOGT3007,G,SEGURIDAD MARÍTIMA,2024,0S,"8,94"
