CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
ARQG2034,G,ARQUEOLOGÍA DEL VIEJO MUNDO,2020,0S,"7,32"
ARQG2035,G,ARQUEOLOGÍA SOCIAL LATINOAMERICANA,2020,0S,"7,62"
ARQG2036,G,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,2020,0S,"7,69"
ARQG2037,G,ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,2020,0S,"8,32"
ARQG2038,G,PRIMER POBLAMIENTO AMERICANO,2020,0S,"6,64"
ARQG2039,G,TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,2020,0S,"7,19"
ARQG2040,G,GEOMÁTICA,2020,0S,"7,65"
ARQG2041,G,GEOGRAFÍA FÍSICA,2020,0S,"7,84"
ARQG2042,G,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,2020,0S,"7,84"
ARQG2043,G,CAMPO DE ARQUEOLOGÍA II,2020,0S,"8,63"
ARTG2002,G,ARTE Y CIENCIA,2017,1S,"8,54"
ARTG2023,G,ARTE Y CIENCIA,2020,0S,"8,55"
ARTG2024,G,ARTE Y TECNOLOGÍA,2020,0S,"8,55"
ARTG2025,G,DIBUJO  I,2020,0S,"8,00"
ARTG2026,G,DIBUJO II,2020,0S,"7,29"
ARTG2028,G,HISTORIA DEL ARTE,2020,0S,"7,88"
ARTG2029,G,HISTORIA DEL CINE,2020,0S,"7,12"
ARTG2030,G,INVESTIGACIÓN AUDIOVISUAL,2020,0S,"7,88"
ARTG2032,G,TALLER DE ILUSTRACIÓN,2021,0S,"8,23"
ARTG2033,G,TÉCNICAS PICTÓRICAS,2020,0S,"8,26"
AUDG2006,G,CONTROL INTERNO,2017,1S,"7,89"
AUDG2007,G,PRÁCTICA TRIBUTARIA,2017,1S,"7,78"
AUDG2013,G,NORMAS TÉCNICAS DE CONTROL EMPRESARIAL,2017,1S,"8,78"
AUDG2014,G,AUDITORÍA Y CONTROL DE PROYECTOS,2017,1S,"6,66"
AUDG2018,G,CONTROL INTERNO PÚBLICO,2017,1S,"8,42"
AUDG2023,G,AUDITORÍA DE SISTEMAS INTEGRADOS,2019,1S,"8,96"
AUDG2024,G,GESTIÓN DE LA PRODUCTIVIDAD,2019,1S,"7,63"
AUDG2026,G,AUDITORÍA DE SISTEMAS INTEGRADOS,2020,0S,"9,67"
AUDG2027,G,AUDITORÍA FINANCIERA I,2020,0S,"8,78"
AUDG2028,G,AUDITORÍA FINANCIERA II,2020,0S,"8,22"
AUDG2030,G,AUDITORÍA OPERACIONAL,2020,0S,"7,80"
AUDG2032,G,CONTABILIDAD AVANZADA,2020,0S,"7,30"
AUDG2033,G,CONTABILIDAD DE COSTOS,2020,0S,"8,51"
AUDG2034,G,CONTABILIDAD FINANCIERA,2020,0S,"7,89"
AUDG2035,G,CONTABILIDAD I,2020,0S,"8,68"
AUDG2036,G,CONTABILIDAD II,2020,0S,"8,12"
AUDG2037,G,CONTABILIDAD III,2020,0S,"7,28"
AUDG2038,G,CONTROL INTERNO,2021,0S,"9,17"
AUDG2039,G,FUNDAMENTOS DE AUDITORÍA,2020,0S,"8,34"
AUDG2040,T,MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,2020,0S,"9,53"
AUDG2041,G,PRÁCTICA TRIBUTARIA,2020,0S,"8,62"
AUDG2042,G,SISTEMAS DE CONTROL DE GESTIÓN,2020,0S,"9,64"
AUDG2043,G,INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,2020,0S,"8,37"
AUDG2044,G,GESTIÓN DE LA PRODUCTIVIDAD,2020,0S,"8,53"
BIOG1001,G,BIOLOGÍA,2016,1S,"7,60"
BIOG1021,G,BIOLOGÍA CELULAR Y MOLECULAR,2020,0S,"8,21"
BIOG1022,G,BIOLOGÍA GENERAL,2020,0S,"8,25"
BIOG1023,G,FISIOLOGÍA ANIMAL,2021,0S,"8,29"
BIOG1024,G,BIOQUÍMICA,2020,0S,"8,42"
BIOG1025,G,INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,2021,0S,"9,48"
BIOG1026,G,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,2020,0S,"8,56"
BIOG1027,T,MATERIA INTEGRADORA DE BIOLOGÍA,2020,0S,"9,26"
BIOG1028,G,MICROBIOLOGÍA GENERAL,2020,0S,"8,24"
BIOG1029,G,VIROLOGÍA,2020,0S,"7,45"
BIOG1030,G,BIOINFORMÁTICA,2020,0S,"8,15"
CADG2009,G,NUEVOS MEDIOS,2017,1S,"7,36"
CADG2025,G,ANIMACIÓN I,2020,0S,"7,29"
CADG2026,G,ANIMACIÓN II,2020,0S,"7,37"
CADG2027,G,DIRECCIÓN AUDIOVISUAL,2020,0S,"8,23"
CADG2028,G,DIRECCIÓN ESCÉNICA,2020,0S,"7,77"
CADG2029,G,DISEÑO DE PRODUCCIÓN,2020,0S,"8,22"
CADG2030,G,EDICIÓN Y MONTAJE,2020,0S,"8,16"
CADG2031,G,FOTOGRAFÍA PARA MEDIOS,2020,0S,"7,22"
CADG2032,G,GUION,2020,0S,"7,94"
CADG2033,G,LEGISLACIÓN AUDIOVISUAL,2020,0S,"6,92"
CADG2034,G,NARRATIVA AUDIOVISUAL,2020,0S,"8,91"
CADG2035,G,POSTPRODUCCIÓN,2020,0S,"8,50"
CADG2036,G,PREPRODUCCIÓN,2020,0S,"8,44"
CADG2037,G,PRODUCCIÓN EJECUTIVA,2020,0S,"7,14"
CADG2038,G,PRODUCCIÓN PARA NUEVOS MEDIOS,2020,0S,"8,06"
CADG2039,G,PROYECTO AUDIOVISUAL I,2020,0S,"8,40"
CADG2040,G,PROYECTO AUDIOVISUAL II,2020,0S,"8,32"
CADG2042,G,DISEÑO DE SONIDO,2020,0S,"7,03"
CADG2043,T,MATERIA INTEGRADORA DE PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,2020,0S,"8,50"
CADG2045,G,FOTOGRAFÍA DIGITAL,2020,0S,"8,67"
CADG2046,G,VIDEOGRAFÍA,2021,0S,"7,65"
CCAG1002,G,EXTENSIONISMO,2020,0S,"8,96"
CCAG2021,G,SEMIÓTICA,2020,0S,"7,90"
CCAG2022,G,ESTUDIO DE CASOS DE CIENCIAS SOCIALES,2020,0S,"8,72"
CCAG2023,G,SOCIOLOGÍA,2020,0S,"8,48"
CCPG1001,G,FUNDAMENTOS DE PROGRAMACIÓN,2016,1S,"6,14"
CCPG1002,G,ANÁLISIS EXPLORATORIO DE DATOS,2016,1S,"7,28"
CCPG1003,G,SEGURIDAD DE LA INFORMACIÓN,2016,1S,"7,40"
CCPG1004,G,COMPUTACIÓN Y SOCIEDAD,2017,1S,"7,49"
CCPG1005,G,PROGRAMACIÓN ORIENTADA A OBJETOS,2017,1S,"6,07"
CCPG1006,G,ESTRUCTURAS DE DATOS,2017,1S,"7,07"
CCPG1008,G,PROGRAMACIÓN DE SISTEMAS,2017,1S,"6,12"
CCPG1009,G,DISEÑO DE SOFTWARE,2017,1S,"7,48"
CCPG1010,G,DESARROLLO DE APLICACIONES WEB,2017,1S,"7,68"
CCPG1012,G,DIRECCIÓN DE PROYECTOS INFORMÁTICOS,2017,1S,"6,40"
CCPG1015,G,SISTEMAS DISTRIBUIDOS,2017,1S,"7,19"
CCPG1016,G,FUNDAMENTOS DEL DISEÑO DIGITAL,2017,1S,"7,41"
CCPG1018,G,ORGANIZACIÓN DE COMPUTADORES,2017,1S,"7,82"
CCPG1023,G,INTERACCIÓN HUMANO COMPUTADOR,2017,1S,"7,43"
CCPG1031,G,ADMINISTRACIÓN DE SISTEMAS OPERATIVOS,2017,1S,"7,95"
CCPG1034,G,ESTRUCTURAS DE DATOS,2020,0S,"7,01"
CCPG1035,T,MATERIA INTEGRADORA DE COMPUTACIÓN,2020,0S,"8,90"
CCPG1036,G,ANÁLISIS DE ALGORITMOS,2020,0S,"7,40"
CCPG1039,G,COMPUTACIÓN Y SOCIEDAD,2020,0S,"8,24"
CCPG1041,G,DIRECCIÓN DE PROYECTOS INFORMÁTICOS,2020,0S,"7,40"
CCPG1042,G,DISEÑO DE SOFTWARE,2020,0S,"7,55"
CCPG1043,G,FUNDAMENTOS DE PROGRAMACIÓN,2020,0S,"6,16"
CCPG1044,G,INTELIGENCIA ARTIFICIAL,2020,0S,"6,82"
CCPG1046,G,INTERACCIÓN HUMANO COMPUTADOR,2020,0S,"8,08"
CCPG1048,G,METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,2020,0S,"7,37"
CCPG1049,G,ORGANIZACIÓN DE COMPUTADORES,2020,0S,"7,98"
CCPG1051,G,PROGRAMACIÓN DE SISTEMAS,2020,0S,"7,16"
CCPG1052,G,PROGRAMACIÓN ORIENTADA A OBJETOS,2020,0S,"7,03"
CCPG1053,G,SEGURIDAD DE LA INFORMACIÓN,2020,0S,"9,09"
CCPG1054,G,SISTEMAS DE INFORMACIÓN,2020,0S,"8,27"
CCPG1055,G,SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,2020,0S,"8,35"
CCPG1056,G,SISTEMAS OPERATIVOS,2020,0S,"6,28"
CCPG1058,G,SISTEMAS DE INFORMACIÓN APLICADOS A LOGÍSTICA,2020,0S,"7,91"
CCPG1059,G,AUDITORÍA DE SISTEMAS DE INFORMACIÓN,2020,0S,"8,72"
CCPG1801,G,FUNDAMENTOS DE PROGRAMACIÓN,2024,0S,"6,48"
CCPG1803,G,PROGRAMACIÓN ORIENTADA A OBJETOS,2025,0S,"7,63"
CCPT3003,G,OPERACIÓN DE COMPUTADORES,2023,0S,"9,21"
CCPT3004,G,FUNDAMENTOS DE COMPUTACIÓN,2023,0S,"8,22"
CELEX00067,G,INGLÉS BÁSICO A,2013,1S,"6,37"
CELEX00075,G,INGLÉS BÁSICO B,2013,1S,"7,06"
CELEX00083,G,INGLÉS INTERMEDIO A,2013,1S,"7,09"
CELEX00091,G,INGLÉS INTERMEDIO B,2013,1S,"7,08"
CELEX00109,G,INGLÉS AVANZADO A,2013,1S,"6,98"
CELEX00117,G,INGLÉS AVANZADO B,2013,1S,"7,37"
CELEX00240,G,FRANCÉS BÁSICO A,2013,1S,"7,93"
CIVG1034,G,ANÁLISIS ESTRUCTURAL,2020,0S,"7,36"
CIVG1035,G,DIBUJO TÉCNICO Y PLANOS,2020,0S,"7,78"
CIVG1036,G,DISEÑO DE PAVIMENTOS,2020,0S,"8,04"
CIVG1037,G,DISEÑO DE PUENTES,2020,0S,"7,96"
CIVG1038,G,DISEÑO DE VÍAS,2020,0S,"7,53"
CIVG1039,G,DISEÑO ESTRUCTURAL,2020,0S,"7,84"
CIVG1040,G,ESTRUCTURAS METÁLICAS,2020,0S,"7,23"
CIVG1041,G,GESTIÓN DE OBRAS CIVILES,2020,0S,"8,88"
CIVG1043,G,HIDROLOGÍA,2020,0S,"7,67"
CIVG1044,G,HIDRÁULICA,2020,0S,"6,94"
CIVG1045,G,HORMIGÓN ARMADO,2020,0S,"7,49"
CIVG1046,G,HORMIGÓN PREFORZADO,2020,0S,"8,06"
CIVG1047,G,HORMIGÓN Y MATERIALES DE CONSTRUCCIÓN,2020,0S,"8,02"
CIVG1049,G,INGENIERÍA DE CIMENTACIÓN,2020,0S,"7,89"
CIVG1050,G,INGENIERÍA DE LA CONSTRUCCIÓN,2020,0S,"8,71"
CIVG1053,G,INSTALACIONES,2020,0S,"8,73"
CIVG1054,T,MATERIA INTEGRADORA DE INGENIERÍA CIVIL,2020,0S,"8,76"
CIVG1055,G,POTABILIZACIÓN Y TRATAMIENTO DEL AGUA,2020,0S,"7,93"
CIVG1056,G,RESISTENCIA DE MATERIALES,2020,0S,"7,26"
CIVG1058,G,SISTEMAS DE RECOLECCIÓN Y DISTRIBUCIÓN DE AGUA,2020,0S,"7,17"
CIVG1059,G,TOPOGRAFÍA,2020,0S,"8,55"
CIVG1060,G,MECÁNICA DE SUELOS Y ROCAS,2020,0S,"7,22"
COMG2002,G,TEORÍA DE LA COMUNICACIÓN,2020,0S,"7,56"
DIGG2019,G,REDACCIÓN CREATIVA,2017,1S,"6,58"
DIGG2023,G,DIRECCIÓN DE ARTE,2020,0S,"7,63"
DIGG2025,G,DISEÑO DE INFORMACIÓN,2020,0S,"7,62"
DIGG2026,G,DISEÑO DE MARCA,2020,0S,"8,33"
DIGG2027,G,DISEÑO EDITORIAL,2020,0S,"7,91"
DIGG2028,G,DISEÑO ESTRATÉGICO,2020,0S,"8,26"
DIGG2029,G,DISEÑO GRÁFICO I,2020,0S,"7,47"
DIGG2030,G,DISEÑO GRÁFICO II,2020,0S,"7,91"
DIGG2031,G,DISEÑO GRÁFICO III,2020,0S,"8,26"
DIGG2032,G,DISEÑO GRÁFICO IV,2020,0S,"8,11"
DIGG2033,G,HISTORIA DEL DISEÑO,2020,0S,"6,59"
DIGG2034,T,MATERIA INTEGRADORA DE DISEÑO GRÁFICO,2020,0S,"8,06"
DIGG2035,G,PROYECTO DE DISEÑO,2020,0S,"8,62"
DIGG2036,G,TIPOGRAFÍA,2020,0S,"7,52"
DIGG2037,G,TÉCNICAS DE IMPRESIÓN,2020,0S,"8,68"
DIGG2039,G,REDACCIÓN CREATIVA,2020,0S,"7,52"
DIGG2040,G,ANTROPOLOGÍA DEL DISEÑO,2020,0S,"6,56"
DIGG2041,G,INVESTIGACIÓN APLICADA AL DISEÑO,2020,0S,"7,63"
DING2023,G,DISEÑO DE PRODUCTOS I,2020,0S,"7,36"
DING2024,G,DISEÑO DE PRODUCTOS II,2020,0S,"7,27"
DING2025,G,DISEÑO DE PRODUCTOS III,2021,0S,"7,48"
DING2026,G,DISEÑO DE PRODUCTOS IV,2022,0S,"7,87"
DING2027,G,DISEÑO DIGITAL,2020,0S,"7,54"
DING2028,G,ERGONOMÍA,2021,0S,"8,17"
DING2029,G,ESTRUCTURAS Y MECANISMOS I,2020,0S,"6,62"
DING2030,G,ESTRUCTURAS Y MECANISMOS II,2021,0S,"6,66"
DING2031,G,HISTORIA DEL DISEÑO INDUSTRIAL,2020,0S,"7,42"
DING2032,T,MATERIA INTEGRADORA DE DISEÑO DE PRODUCTOS,2022,0S,"8,29"
DING2033,G,MATERIALES Y MANUFACTURA I,2020,0S,"6,85"
DING2034,G,MATERIALES Y MANUFACTURA II,2020,0S,"7,59"
DING2035,G,MATERIALES Y MANUFACTURA III,2021,0S,"8,62"
DING2036,G,MODELADO TRIDIMENSIONAL,2020,0S,"7,44"
DING2037,G,PORTAFOLIO,2022,0S,"8,08"
DING2038,G,PROTOTIPADO AVANZADO,2022,0S,"7,99"
DING2039,G,TALLER DE DISEÑO I,2020,0S,"8,06"
DING2040,G,TALLER DE DISEÑO II,2020,0S,"7,92"
DING2041,G,TALLER DE DISEÑO III,2021,0S,"8,36"
DING2042,G,TALLER DE DISEÑO IV,2021,0S,"8,11"
DING2043,G,TEORÍA DEL DISEÑO,2020,0S,"7,92"
ECOG1008,G,PROYECTOS AGRÍCOLAS,2020,0S,"8,57"
ECOG1009,G,EVALUACIÓN DE PROYECTOS HIDROCARBURÍFEROS,2020,0S,"8,11"
ECOG2002,G,ESTUDIO DE CASOS DE CIENCIAS SOCIALES,2017,1S,"8,23"
ECOG2041,G,GESTIÓN DEL DISEÑO,2020,0S,"8,50"
ECOG2042,G,ANÁLISIS FINANCIERO,2020,0S,"7,44"
ECOG2043,G,CRECIMIENTO Y DESARROLLO ECONÓMICO,2020,0S,"8,45"
ECOG2044,G,ECONOMETRÍA I,2020,0S,"7,95"
ECOG2045,G,ECONOMETRÍA II,2020,0S,"6,89"
ECOG2046,G,ECONOMETRÍA III,2020,0S,"7,11"
ECOG2047,G,ECONOMÍA GERENCIAL,2020,0S,"7,74"
ECOG2049,G,ECONOMÍA MATEMÁTICA,2020,0S,"7,68"
ECOG2051,G,FINANZAS INTERNACIONALES,2020,0S,"8,39"
ECOG2053,T,MATERIA INTEGRADORA DE ECONOMÍA,2020,0S,"8,50"
ECOG2054,G,PRESUPUESTO,2020,0S,"7,83"
ECOG2055,G,FUNDAMENTOS DE INVERSIONES,2020,0S,"8,46"
ECOG2057,G,FORMULACION Y EVALUACIÓN SOCIAL DE PROYECTOS,2020,0S,"7,42"
ECOG2058,G,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,2020,0S,"7,99"
ECOG2059,G,MACROECONOMÍA III,2020,0S,"8,34"
ECOG2060,G,MICROECONOMÍA III,2020,0S,"6,97"
ECOG2061,G,MACROECONOMÍA II,2020,0S,"8,35"
ECOG2062,G,MICROECONOMÍA II,2020,0S,"6,93"
ECOG2063,G,MACROECONOMÍA I,2020,0S,"8,53"
ECOG2064,G,MICROECONOMÍA I,2020,0S,"7,17"
ECOG2065,G,GESTIÓN TRIBUTARIA,2020,0S,"7,51"
ECOG2066,G,PLANIFICACIÓN Y CONTROL FINANCIERO,2020,0S,"7,58"
ECOG2067,G,INTRODUCCIÓN A LA ECONOMÍA,2020,0S,"7,51"
ECOG2068,G,ORGANIZACIÓN INDUSTRIAL,2020,0S,"7,25"
ECOG2069,G,HISTORIA Y FILOSOFÍA DEL PENSAMIENTO ECONÓMICO,2020,0S,"7,86"
EDCOM00018,G,PROGRAMACIÓN APLICADA AL DISEÑO,2013,1S,"6,59"
EDCOM00026,G,FOTOGRAFÍA PUBLICITARIA,2013,1S,"8,44"
EDCOM00034,G,TALLER DE ILUSTRACIÓN,2013,1S,"6,24"
EDCOM00067,G,GESTIÓN DE MEDIOS I,2013,1S,"7,31"
EDCOM00075,G,DISEÑO CONTEMPORÁNEO,2013,1S,"6,62"
EDCOM00083,G,TALLER DE DISEÑO PUBLICITARIO I,2013,1S,"7,50"
EDCOM00091,G,DISEÑO DE PACKAGING,2013,1S,"7,94"
EDCOM00109,G,GESTIÓN DE MEDIOS II,2013,1S,"7,28"
EDCOM00117,G,TALLER DE DISEÑO GRÁFICO,2013,1S,"7,17"
EDCOM00125,G,TEORÍA DE LA IMAGEN VISUAL,2013,1S,"7,30"
EDCOM00133,G,INVESTIGACIÓN Y DESARROLLO,2013,1S,"7,21"
EDCOM00141,G,TALLER DE DISEÑO PUBLICITARIO II,2013,1S,"7,42"
EDCOM00158,G,DISEÑO TRIDIMENSIONAL,2013,1S,"8,10"
EDCOM00174,G,PORTAFOLIO,2013,1S,"7,72"
EDCOM00182,G,GUIÓN AUDIOVISUAL,2013,1S,"8,66"
EDCOM00190,G,AUTORÍA I (DISEÑO MULTIMEDIA),2013,1S,"8,22"
EDCOM00208,G,DISEÑO WEB,2013,1S,"7,38"
EDCOM00216,G,E-MARKETING,2015,1S,"7,30"
EDCOM00224,G,ANIMACIÓN WEB,2013,1S,"8,17"
EDCOM00232,G,AUTORÍA II (PROGRAMACIÓN MULTIMEDIA),2013,1S,"8,37"
EDCOM00257,G,E-COMMERCE,2014,1S,"7,25"
EDCOM00265,G,DISPOSITIVOS MÓVILES,2014,1S,"7,00"
EDCOM00281,G,GESTIÓN Y CONTROL DE PROYECTOS,2014,1S,"6,41"
EDCOM00315,G,DIBUJO ARTÍSTICO,2013,1S,"7,06"
EDCOM00323,G,TÉCNICAS PICTÓRICAS,2013,1S,"7,59"
EDCOM00380,G,PROCESO HISTÓRICO DE LA COMUNICACIÓN,2013,1S,"7,56"
EDCOM00398,G,ANTROPOLOGÍA CULTURAL,2013,1S,"6,22"
EDCOM00406,G,TEORÍA DE LA COMUNICACIÓN,2013,1S,"8,49"
EDCOM00414,G,ÉTICA PROFESIONAL,2013,1S,"8,17"
EDCOM00422,G,HISTORIA DEL PENSAMIENTO FILOSÓFICO,2013,1S,"8,34"
EDCOM00430,G,TÉCNICAS DE REDACCIÓN ESCRITA I,2013,1S,"7,78"
EDCOM00448,G,PSICOLOGÍA DE LA COMUNICACIÓN,2013,1S,"8,00"
EDCOM00455,G,INVESTIGACIÓN DE LA COMUNICACIÓN,2013,1S,"8,24"
EDCOM00463,G,TEORÍA Y ANÁLISIS DEL DISCURSO VISUAL,2013,1S,"8,34"
EDCOM00471,G,TÉCNICAS DE REDACCIÓN ESCRITA II,2013,1S,"8,16"
EDCOM00489,G,SOCIOLOGÍA DE LA COMUNICACIÓN,2013,1S,"8,19"
EDCOM00497,G,GUIÓN Y DRAMATURGIA,2013,1S,"7,76"
EDCOM00505,G,GÉNEROS PERIODÍSTICOS I,2013,1S,"7,98"
EDCOM00513,G,SEMIOLOGÍA,2013,1S,"7,36"
EDCOM00521,G,EDICIÓN Y MONTAJE,2013,1S,"8,19"
EDCOM00539,G,TALLER DE CÁMARA E ILUMINACIÓN,2013,1S,"7,09"
EDCOM00547,G,PERIODISMO RADIAL,2013,1S,"8,32"
EDCOM00554,G,PERIODISMO DE OPINIÓN,2013,1S,"8,07"
EDCOM00562,G,TECNOLOGÍAS DE LA INFORMACIÓN APLICADAS AL PERIODISMO,2013,1S,"8,12"
EDCOM00570,G,REALIZACIÓN AUDIOVISUAL,2013,1S,"7,99"
EDCOM00588,G,PERIODISMO CIENTÍFICO,2013,1S,"7,97"
EDCOM00596,G,PERIODISMO COMUNITARIO,2013,1S,"8,49"
EDCOM00604,G,ELABORACIÓN DE PROYECTOS EN COMUNICACIONES,2013,1S,"7,51"
EDCOM00612,G,COMUNICACIÓN DE LA CIENCIA Y LA TECNOLOGÍA,2013,1S,"8,04"
EDCOM00620,G,PERIODISMO DE INVESTIGACIÓN,2013,1S,"8,29"
EDCOM00638,G,PERIODISMO GRÁFICO,2013,1S,"8,19"
EDCOM00646,G,TALLER DE TV Y VIDEO,2013,1S,"7,35"
EDCOM00653,G,TALLER DE RADIO,2013,1S,"8,83"
EDCOM00661,G,GÉNEROS PERIODÍSTICOS II,2013,1S,"7,96"
EDCOM00679,G,COMUNICACIÓN Y ECOLOGÍA,2013,1S,"7,94"
EDCOM00687,G,COMUNICACIÓN Y EDUCACIÓN,2013,1S,"7,31"
EDCOM01115,G,ADMINISTRACIÓN DEL DISEÑO,2013,1S,"7,81"
EDCOM01149,G,COMPOSICIÓN AUDIOVISUAL,2013,1S,"8,34"
EDCOM01156,G,TALLER DE CÁMARA E ILUMINACIÓN,2013,1S,"7,80"
EDCOM01164,G,TALLER DOCUMENTAL,2013,1S,"7,51"
EDCOM01172,G,COLOR DIGITAL,2014,1S,"6,21"
EDCOM01180,G,ANÁLISIS DE REQUERIMIENTO DE USUARIO,2014,1S,"6,93"
EDCOM01206,G,FINANZAS PARA PROYECTOS,2014,1S,"6,25"
EDCOM01230,G,ADMINISTRADORES DE CONTENIDO,2013,1S,"8,05"
EDCOM01263,G,MÉTODOS MATEMÁTICOS PARA ANIMACIÓN,2013,1S,"6,50"
EDCOM01271,G,PROGRAMACIÓN SCRIPT,2013,1S,"6,94"
EDCOM01297,G,APLICACIONES MULTIMEDIA INTERACTIVAS,2015,1S,"7,61"
EDCOM01420,G,PRODUCCIÓN EDITORIAL,2013,1S,"7,65"
EDCOM01438,G,DISEÑO EDITORIAL,2013,1S,"7,73"
EDCOM01446,G,ESTRATEGIAS CREATIVAS PUBLICITARIAS,2013,1S,"7,87"
EDCOM01453,G,DERECHO DE LA INFORMACIÓN,2013,1S,"8,07"
EDCOM01461,G,FORMULACIÓN DE PROY. DE INVESTIGACIÓN EN DISEÑO APLICADO AL PATRIMONIO CULTUR,2014,1S,"7,33"
EDCOM01487,G,REALIZACIÓN DE CONTENIDOS AUDIOVISUALES PARA TELEVISIÓN,2014,1S,"8,71"
ELEG1028,G,ANÁLISIS DE REDES ELÉCTRICAS,2020,0S,"6,00"
ELEG1029,G,CENTRALES ELÉCTRICAS,2020,0S,"7,17"
ELEG1030,G,CIRCUITOS ELÉCTRICOS,2020,0S,"6,43"
ELEG1031,G,CONTROLES ELÉCTRICOS INDUSTRIALES,2020,0S,"7,21"
ELEG1032,G,DISTRIBUCIÓN ELÉCTRICA I,2020,0S,"7,52"
ELEG1033,G,DISTRIBUCIÓN ELÉCTRICA II,2021,0S,"8,41"
ELEG1034,G,ELECTRICIDAD BÁSICA,2020,0S,"6,93"
ELEG1035,G,ENERGÍAS RENOVABLES,2020,0S,"7,27"
ELEG1036,G,ESTABILIDAD Y CONTROL DE SISTEMAS DE POTENCIA,2021,0S,"7,59"
ELEG1037,G,GESTIÓN Y MARCO REGULATORIO DEL SECTOR ELÉCTRICO,2021,0S,"8,18"
ELEG1038,G,INSTALACIONES ELÉCTRICAS,2020,0S,"8,22"
ELEG1039,G,LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES,2020,0S,"8,24"
ELEG1040,G,MAQUINARIA ELÉCTRICA I,2020,0S,"7,20"
ELEG1041,G,MAQUINARIA ELÉCTRICA II,2020,0S,"7,17"
ELEG1042,T,MATERIA INTEGRADORA DE ELECTRICIDAD,2020,0S,"8,86"
ELEG1043,G,MÁQUINAS Y TRANSFORMADORES,2020,0S,"6,64"
ELEG1044,G,OPERACIÓN DE SISTEMAS DE POTENCIA,2020,0S,"5,74"
ELEG1046,G,PLANIFICACIÓN DE SISTEMAS DE POTENCIA,2020,0S,"7,64"
ELEG1047,G,PROTECCIONES ELÉCTRICAS,2020,0S,"6,58"
ELEG1049,G,SISTEMAS DE POTENCIA I,2020,0S,"7,02"
ELEG1050,G,SISTEMAS DE POTENCIA II,2020,0S,"7,35"
ELEG1051,G,TEORÍA ELECTROMAGNÉTICA,2020,0S,"6,37"
ELET3001,G,INSTALACIONES ELÉCTRICAS DE BAJA TENSIÓN,2023,0S,"9,01"
ELET3002,G,MEDICIONES ELÉCTRICAS,2023,0S,"8,96"
ELET3003,G,CONTROLES ELÉCTRICOS,2023,0S,"8,34"
ELET3004,G,MÁQUINAS ELÉCTRICAS,2023,0S,"8,43"
ESTG1001,G,ESTADÍSTICA DESCRIPTIVA,2017,1S,"6,25"
ESTG1002,G,ESTADÍSTICA INFERENCIAL,2017,1S,"6,80"
ESTG1011,G,INTRODUCCIÓN A LAS METODOLOGÍAS DE INVESTIGACIÓN,2017,1S,"7,79"
ESTG1033,G,GEOESTADISTICA,2020,0S,"8,31"
ESTG1034,G,ESTADÍSTICA,2020,0S,"6,41"
ESTG1035,G,INTRODUCCIÓN A LA ESTADÍSTICA,2020,0S,"7,88"
ESTG1036,G,ESTADÍSTICA I,2020,0S,"6,52"
ESTG1037,G,ESTADÍSTICA II,2020,0S,"6,89"
ESTG1038,G,MEDIDA Y PROBABILIDAD,2020,0S,"5,94"
ESTG1039,G,ESTADÍSTICA MATEMÁTICA,2020,0S,"5,63"
ESTG1040,G,TÉCNICAS DE MUESTREO Y ANÁLISIS MULTIVARIADO,2020,0S,"8,28"
ESTG1041,G,MUESTREO,2020,0S,"6,33"
ESTG1042,G,ESTADÍSTICA MULTIVARIANTE,2020,0S,"7,96"
ESTG1043,G,CONTROL ESTADÍSTICO DE PROCESOS,2020,0S,"8,97"
ESTG1044,G,DATOS CATEGÓRICOS,2020,0S,"9,16"
ESTG1045,G,MODELOS ESTADÍSTICOS APLICADOS I,2020,0S,"7,27"
ESTG1046,G,MODELOS ESTADÍSTICOS APLICADOS II,2020,0S,"7,70"
ESTG1047,G,ESTADÍSTICA BAYESIANA,2020,0S,"8,44"
ESTG1048,G,PROCESOS ESTOCÁSTICOS,2020,0S,"7,71"
ESTG1049,G,INGENIERÍA DE DATOS,2020,0S,"8,30"
ESTG1050,G,DISEÑO DE EXPERIMENTOS,2020,0S,"8,48"
ESTG1051,G,SERIES DE TIEMPO,2020,0S,"8,53"
ESTG1052,G,ESTADÍSTICA COMPUTACIONAL,2020,0S,"7,43"
ESTG1054,G,MÉTODOS ROBUSTOS Y NO PARAMÉTRICOS,2020,0S,"7,36"
ESTG1055,G,APRENDIZAJE ESTADÍSTICO,2020,0S,"8,03"
