CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
GEOG1032,GEOLOGÍA ESTRUCTURAL,12,75,"16,00",G,GEOLOGÍA ESTRUCTURAL,2020,0S,"6,96"
GEOG1033,GEOLOGÍA GENERAL,8,61,"13,11",G,GEOLOGÍA GENERAL,2020,0S,"7,47"
GEOG1034,GEOMORFOLOGIA,2,60,"3,33",G,GEOMORFOLOGIA,2020,0S,"8,45"
GEOG1035,GEOQUIMICA,2,67,"2,99",G,GEOQUIMICA,2020,0S,"8,50"
GEOG1036,HIDROGEOLOGÍA,2,58,"3,45",G,HIDROGEOLOGÍA,2020,0S,"7,93"
GEOG1037,INGENIERÍA GEOLÓGICA,1,34,"2,94",G,INGENIERÍA GEOLÓGICA,2020,0S,"7,96"
GEOG1038,LEGISLACIÓN Y MITIGACIÓN AMBIENTAL,0,7,"0,00",G,LEGISLACIÓN Y MITIGACIÓN AMBIENTAL,2023,0S,"8,99"
GEOG1039,MATERIA INTEGRADORA DE GEOLOGÍA,7,84,"8,33",T,MATERIA INTEGRADORA DE GEOLOGÍA,2020,0S,"8,58"
GEOG1040,MÉTODOS GEOFÍSICOS,3,50,"6,00",G,MÉTODOS GEOFÍSICOS,2020,0S,"7,93"
GEOG1041,MINERALOGÍA,64,201,"31,84",G,MINERALOGÍA,2020,0S,"5,77"
GEOG1042,MINERALOGÍA ÓPTICA,12,69,"17,39",G,MINERALOGÍA ÓPTICA,2020,0S,"7,31"
GEOG1044,PALEONTOLOGÍA APLICADA,3,53,"5,66",G,PALEONTOLOGÍA APLICADA,2020,0S,"8,01"
GEOG1045,PETROLOGIA SEDIMENTARIA,3,59,"5,08",G,PETROLOGIA SEDIMENTARIA,2020,0S,"7,46"
GEOG1046,PETROLOGÍA ÍGNEA Y METAMÓRFICA,0,55,"0,00",G,PETROLOGÍA ÍGNEA Y METAMÓRFICA,2020,0S,"8,46"
GEOG1047,SISTEMAS DE INFORMACIÓN GEOGRÁFICA,39,579,"6,74",G,SISTEMAS DE INFORMACIÓN GEOGRÁFICA,2020,0S,"7,71"
GEOG1048,TECTONICA,1,61,"1,64",G,TECTONICA,2020,0S,"8,00"
GEOG1050,VULNERABILIDAD Y RIESGO GEOLÓGICO,4,80,"5,00",G,VULNERABILIDAD Y RIESGO GEOLÓGICO,2020,0S,"7,89"
GEOG1051,MECÁNICA DE MATERIALES GEOLÓGICOS,3,51,"5,88",G,MECÁNICA DE MATERIALES GEOLÓGICOS,2020,0S,"7,74"
GEOG1052,GEOLOGÍA PARA INGENIEROS EN PETRÓLEO,1,76,"1,32",G,GEOLOGÍA PARA INGENIEROS EN PETRÓLEO,2020,0S,"8,61"
HISG2002,INTRODUCCIÓN A LA HISTORIA Y ETNOHISTORIA,19,501,"3,79",G,INTRODUCCIÓN A LA HISTORIA Y ETNOHISTORIA,2020,0S,"7,98"
IDIG1006,INGLÉS I,493,4734,"10,41",G,INGLÉS I,2020,0S,"7,16"
IDIG1007,INGLÉS II,335,4572,"7,33",G,INGLÉS II,2020,0S,"7,28"
IDIG1008,INGLÉS III,318,4624,"6,88",G,INGLÉS III,2020,0S,"7,62"
IDIG1009,INGLÉS IV,249,4666,"5,34",G,INGLÉS IV,2020,0S,"7,53"
IDIG1010,INGLÉS V,338,4639,"7,29",G,INGLÉS V,2020,0S,"7,39"
IDIG1802,INGLÉS I,9,36,"25,00",G,INGLÉS I,2024,0S,"6,87"
IDIG1806,INGLÉS II,1,11,"9,09",G,INGLÉS II,2025,0S,"6,78"
IDIG2012,COMUNICACIÓN,275,6355,"4,33",G,COMUNICACIÓN,2020,0S,"7,98"
IDIT3002,COMUNICACIÓN,0,60,"0,00",G,COMUNICACIÓN,2023,0S,"8,90"
IDIT3003,INGLÉS TÉCNICO I,0,16,"0,00",G,INGLÉS TÉCNICO I,2024,0S,"8,49"
IDIT3004,INGLÉS TÉCNICO II,0,16,"0,00",G,INGLÉS TÉCNICO II,2024,0S,"9,75"
INDG1033,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,242,9096,"2,66",G,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,2020,0S,"8,46"
INDG1034,ANÁLISIS DE VALOR DE PRODUCTO,5,436,"1,15",G,ANÁLISIS DE VALOR DE PRODUCTO,2020,0S,"8,35"
INDG1035,DISEÑO DE PLANTAS,25,462,"5,41",G,DISEÑO DE PLANTAS,2020,0S,"7,77"
INDG1037,GESTIÓN DE LA CADENA DE SUMINISTRO SOSTENIBLE,25,415,"6,02",G,GESTIÓN DE LA CADENA DE SUMINISTRO SOSTENIBLE,2020,0S,"7,50"
INDG1039,INGENIERÍA DE MÉTODOS,7,336,"2,08",G,INGENIERÍA DE MÉTODOS,2020,0S,"8,02"
INDG1040,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,5,376,"1,33",G,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,2020,0S,"7,94"
INDG1041,INVESTIGACIÓN DE OPERACIONES,46,390,"11,79",G,INVESTIGACIÓN DE OPERACIONES,2020,0S,"7,19"
INDG1042,LOGÍSTICA Y SERVICIO AL CLIENTE,12,391,"3,07",G,LOGÍSTICA Y SERVICIO AL CLIENTE,2020,0S,"7,54"
INDG1043,MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL,41,446,"9,19",T,MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL,2020,0S,"8,20"
INDG1044,METODOLOGÍAS PARA LA MEJORA CONTINUA,9,367,"2,45",G,METODOLOGÍAS PARA LA MEJORA CONTINUA,2020,0S,"8,03"
INDG1045,MODELOS ESTOCÁSTICOS PARA MANUFACTURA Y SERVICIOS,45,369,"12,20",G,MODELOS ESTOCÁSTICOS PARA MANUFACTURA Y SERVICIOS,2020,0S,"7,47"
INDG1046,MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA,5,319,"1,57",G,MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA,2020,0S,"8,51"
INDG1047,PLANIFICACIÓN DE LA PRODUCCIÓN,39,396,"9,85",G,PLANIFICACIÓN DE LA PRODUCCIÓN,2020,0S,"7,25"
INDG1048,PROYECTOS INDUSTRIALES,6,514,"1,17",G,PROYECTOS INDUSTRIALES,2020,0S,"8,24"
INDG1051,PROGRAMACIÓN ENTERA PARA INGENIERÍA,23,389,"5,91",G,PROGRAMACIÓN ENTERA PARA INGENIERÍA,2020,0S,"7,51"
INDG1052,SIMULACIÓN,7,427,"1,64",G,SIMULACIÓN,2020,0S,"7,95"
INDG1053,SISTEMAS DE CONTROL DE PRODUCCIÓN,95,461,"20,61",G,SISTEMAS DE CONTROL DE PRODUCCIÓN,2020,0S,"6,78"
INDG1054,SEGURIDAD Y SALUD OCUPACIONAL,4,346,"1,16",G,SEGURIDAD Y SALUD OCUPACIONAL,2020,0S,"8,28"
INDG1055,PROCESOS INDUSTRIALES,4,361,"1,11",G,PROCESOS INDUSTRIALES,2020,0S,"8,11"
INDG1056,PRONÓSTICO Y CONTROL DE INVENTARIO,68,410,"16,59",G,PRONÓSTICO Y CONTROL DE INVENTARIO,2020,0S,"6,94"
INDG1057,INGENIERÍA DE LA CALIDAD,26,775,"3,35",G,INGENIERÍA DE LA CALIDAD,2020,0S,"7,84"
INDG1058,SISTEMAS Y PROGRAMACIÓN DE PRODUCCIÓN,6,276,"2,17",G,SISTEMAS Y PROGRAMACIÓN DE PRODUCCIÓN,2020,0S,"8,02"
INDG1060,ADMINISTRACIÓN LOGÍSTICA,4,477,"0,84",G,ADMINISTRACIÓN LOGÍSTICA,2020,0S,"8,01"
INDG1061,HSEQ EN LA INDUSTRIA HIDROCARBURÍFERA,1,39,"2,56",G,HSEQ EN LA INDUSTRIA HIDROCARBURÍFERA,2020,0S,"8,98"
INDG1801,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,20,68,"29,41",G,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,2024,0S,"6,99"
INDT3002,SEGURIDAD Y SALUD OCUPACIONAL,0,62,"0,00",G,SEGURIDAD Y SALUD OCUPACIONAL,2023,0S,"8,83"
JURG2004,DERECHO ECONÓMICO,3,424,"0,71",G,DERECHO ECONÓMICO,2020,0S,"8,08"
JURG2005,DERECHO SOCIETARIO Y LABORAL,11,835,"1,32",G,DERECHO SOCIETARIO Y LABORAL,2020,0S,"8,84"
JURG2006,DERECHO TRIBUTARIO,8,485,"1,65",G,DERECHO TRIBUTARIO,2020,0S,"8,39"
LOGG1016,TRANSPORTE MULTIMODAL,2,194,"1,03",G,TRANSPORTE MULTIMODAL,2020,0S,"8,93"
LOGG1017,LOGÍSTICA I,4,91,"4,40",G,LOGÍSTICA I,2020,0S,"7,50"
LOGG1018,LOGÍSTICA II,7,108,"6,48",G,LOGÍSTICA II,2020,0S,"7,50"
LOGG1019,SISTEMAS DE TRANSPORTE,9,143,"6,29",G,SISTEMAS DE TRANSPORTE,2020,0S,"7,73"
LOGG1020,MODELIZACIÓN DEL TRANSPORTE,32,159,"20,13",G,MODELIZACIÓN DEL TRANSPORTE,2020,0S,"6,45"
LOGG1021,GESTIÓN DE BODEGAS Y ABASTECIMIENTO,5,134,"3,73",G,GESTIÓN DE BODEGAS Y ABASTECIMIENTO,2020,0S,"7,24"
LOGG1022,TRANSPORTE URBANO,8,99,"8,08",G,TRANSPORTE URBANO,2020,0S,"7,14"
LOGG1023,PRESUPUESTOS Y PROYECTOS LOGÍSTICOS,12,100,"12,00",G,PRESUPUESTOS Y PROYECTOS LOGÍSTICOS,2021,0S,"7,20"
LOGG1024,INGENIERÍA DE TRÁNSITO,10,133,"7,52",G,INGENIERÍA DE TRÁNSITO,2020,0S,"6,89"
LOGG1027,MATERIA INTEGRADORA DE LOGÍSTICA Y TRANSPORTE,27,210,"12,86",T,MATERIA INTEGRADORA DE LOGÍSTICA Y TRANSPORTE,2020,0S,"8,04"
LOGT3002,INGRESO Y SALIDA DE NAVES,0,16,"0,00",G,INGRESO Y SALIDA DE NAVES,2024,0S,"9,26"
LOGT3005,TRANSPORTE MULTIMODAL,0,16,"0,00",G,TRANSPORTE MULTIMODAL,2025,0S,"8,71"
LOGT3006,CIENCIAS NÁUTICAS,0,16,"0,00",G,CIENCIAS NÁUTICAS,2024,0S,"9,90"
LOGT3007,SEGURIDAD MARÍTIMA,0,16,"0,00",G,SEGURIDAD MARÍTIMA,2024,0S,"8,94"
LOGT3009,GESTIÓN MARÍTIMA PORTUARIA,0,16,"0,00",G,GESTIÓN MARÍTIMA PORTUARIA,2024,0S,"8,58"
LOGT3010,TRANSPORTE MARÍTIMO,0,16,"0,00",G,TRANSPORTE MARÍTIMO,2024,0S,"8,67"
LOGT3011,OPERACIONES Y SERVICIOS PORTUARIOS,0,16,"0,00",G,OPERACIONES Y SERVICIOS PORTUARIOS,2024,0S,"9,50"
LOGT3012,TRÁFICO MARÍTIMO,0,16,"0,00",G,TRÁFICO MARÍTIMO,2025,0S,"7,54"
LOGT3013,LOGÍSTICA PORTUARIA,0,16,"0,00",G,LOGÍSTICA PORTUARIA,2025,0S,"8,59"
LOGT3014,MATERIA INTEGRADORA DE TECNOLOGÍA EN LOGÍSTICA PORTUARIA,0,16,"0,00",T,MATERIA INTEGRADORA DE TECNOLOGÍA EN LOGÍSTICA PORTUARIA,2025,0S,"8,59"
MATG1045,CÁLCULO DE UNA VARIABLE,4386,10339,"42,42",G,CÁLCULO DE UNA VARIABLE,2020,0S,"5,97"
MATG1046,CÁLCULO VECTORIAL,1810,5531,"32,72",G,CÁLCULO VECTORIAL,2020,0S,"6,27"
MATG1047,CÁLCULO DE VARIAS VARIABLES,432,2221,"19,45",G,CÁLCULO DE VARIAS VARIABLES,2020,0S,"6,78"
MATG1048,ECUACIONES DIFERENCIALES Y ÁLGEBRA LINEAL,300,1572,"19,08",G,ECUACIONES DIFERENCIALES Y ÁLGEBRA LINEAL,2020,0S,"6,88"
MATG1049,ÁLGEBRA LINEAL,1349,4248,"31,76",G,ÁLGEBRA LINEAL,2020,0S,"6,16"
MATG1050,ECUACIONES DIFERENCIALES,659,2222,"29,66",G,ECUACIONES DIFERENCIALES,2020,0S,"6,27"
MATG1051,MATEMÁTICAS DISCRETAS,611,1556,"39,27",G,MATEMÁTICAS DISCRETAS,2020,0S,"5,57"
MATG1052,MÉTODOS NUMÉRICOS,100,994,"10,06",G,MÉTODOS NUMÉRICOS,2020,0S,"7,52"
MATG1053,MATEMÁTICA APLICADA A LA INGENIERÍA,118,988,"11,94",G,MATEMÁTICA APLICADA A LA INGENIERÍA,2020,0S,"7,07"
MATG1054,MATEMÁTICAS SUPERIORES,66,662,"9,97",G,MATEMÁTICAS SUPERIORES,2020,0S,"7,26"
MATG1055,MATEMÁTICAS AVANZADAS,15,360,"4,17",G,MATEMÁTICAS AVANZADAS,2020,0S,"8,24"
MATG1056,INTRODUCCIÓN AL RAZONAMIENTO MATEMÁTICO,72,232,"31,03",G,INTRODUCCIÓN AL RAZONAMIENTO MATEMÁTICO,2020,0S,"6,38"
MATG1057,OPTIMIZACIÓN LINEAL,5,124,"4,03",G,OPTIMIZACIÓN LINEAL,2020,0S,"7,34"
MATG1058,OPTIMIZACIÓN NUMÉRICA,31,211,"14,69",G,OPTIMIZACIÓN NUMÉRICA,2020,0S,"7,00"
MATG1059,OPTIMIZACIÓN COMBINATORIA,9,163,"5,52",G,OPTIMIZACIÓN COMBINATORIA,2020,0S,"7,54"
MATG1060,OPTIMIZACIÓN NO LINEAL Y ESTOCÁSTICA,4,129,"3,10",G,OPTIMIZACIÓN NO LINEAL Y ESTOCÁSTICA,2020,0S,"8,35"
MATG1061,METAHEURÍSTICAS,22,173,"12,72",G,METAHEURÍSTICAS,2020,0S,"6,93"
MATG1062,GEOMETRÍA AXIOMÁTICA,62,223,"27,80",G,GEOMETRÍA AXIOMÁTICA,2020,0S,"6,47"
MATG1063,CÁLCULO I,66,215,"30,70",G,CÁLCULO I,2020,0S,"6,64"
MATG1064,CÁLCULO II,57,193,"29,53",G,CÁLCULO II,2020,0S,"6,24"
MATG1065,ANÁLISIS DISCRETO,48,161,"29,81",G,ANÁLISIS DISCRETO,2020,0S,"6,35"
MATG1066,ÁLGEBRA LINEAL I,129,374,"34,49",G,ÁLGEBRA LINEAL I,2020,0S,"5,75"
MATG1067,ÁLGEBRA LINEAL II,12,114,"10,53",G,ÁLGEBRA LINEAL II,2020,0S,"7,18"
MATG1068,ECUACIONES DIFERENCIALES I,23,105,"21,90",G,ECUACIONES DIFERENCIALES I,2020,0S,"6,52"
MATG1069,ECUACIONES DIFERENCIALES II,3,58,"5,17",G,ECUACIONES DIFERENCIALES II,2020,0S,"7,87"
MATG1070,ANÁLISIS MATEMÁTICO I,24,108,"22,22",G,ANÁLISIS MATEMÁTICO I,2020,0S,"6,87"
MATG1071,ANÁLISIS MATEMÁTICO II,20,88,"22,73",G,ANÁLISIS MATEMÁTICO II,2020,0S,"6,70"
MATG1072,FUNDAMENTOS DE OPTIMIZACIÓN,10,98,"10,20",G,FUNDAMENTOS DE OPTIMIZACIÓN,2020,0S,"7,94"
MATG1073,ESTRUCTURAS ALGEBRAICAS,49,110,"44,55",G,ESTRUCTURAS ALGEBRAICAS,2020,0S,"5,58"
MATG1074,TOPOLOGÍA,4,66,"6,06",G,TOPOLOGÍA,2021,0S,"7,69"
MATG1075,MÉTODOS MATEMÁTICOS PARA LAS CIENCIAS,4,61,"6,56",G,MÉTODOS MATEMÁTICOS PARA LAS CIENCIAS,2020,0S,"7,56"
MATG1076,ANÁLISIS NUMÉRICO,13,84,"15,48",G,ANÁLISIS NUMÉRICO,2020,0S,"6,89"
MATG1077,TEORÍA DE LA MEDIDA,14,72,"19,44",G,TEORÍA DE LA MEDIDA,2020,0S,"6,60"
MATG1078,ANÁLISIS COMPLEJO,23,70,"32,86",G,ANÁLISIS COMPLEJO,2021,0S,"5,97"
MATG1079,ANÁLISIS FUNCIONAL,7,53,"13,21",G,ANÁLISIS FUNCIONAL,2021,0S,"7,01"
MATG1080,GEOMETRÍA DIFERENCIAL,2,53,"3,77",G,GEOMETRÍA DIFERENCIAL,2020,0S,"7,96"
MATG1082,ELEMENTOS DE COMPUTACIÓN CIENTÍFICA,2,58,"3,45",G,ELEMENTOS DE COMPUTACIÓN CIENTÍFICA,2020,0S,"8,08"
MATG1086,MATERIA INTEGRADORA DE MATEMÁTICA,0,42,"0,00",T,MATERIA INTEGRADORA DE MATEMÁTICA,2021,0S,"9,01"
MATG1801,CÁLCULO DE UNA VARIABLE,31,81,"38,27",G,CÁLCULO DE UNA VARIABLE,2024,0S,"5,75"
MATG1802,CÁLCULO VECTORIAL,0,9,"0,00",G,CÁLCULO VECTORIAL,2025,0S,"7,45"
MATG1803,ÁLGEBRA LINEAL,18,59,"30,51",G,ÁLGEBRA LINEAL,2024,0S,"5,99"
MATG2007,MATEMÁTICAS,182,1142,"15,94",G,MATEMÁTICAS,2020,0S,"7,03"
MATG2008,MATEMÁTICAS FINANCIERAS,1041,3286,"31,68",G,MATEMÁTICAS FINANCIERAS,2020,0S,"6,01"
MATG2009,MATEMÁTICAS,177,1351,"13,10",G,MATEMÁTICAS,2020,0S,"7,14"
MATT3002,MATEMÁTICAS,0,16,"0,00",G,MATEMÁTICAS,2023,0S,"7,63"
MCTG1011,ACTUADORES MECATRÓNICOS,5,503,"0,99",G,ACTUADORES MECATRÓNICOS,2020,0S,"8,73"
MCTG1012,DISEÑO DE ELEMENTOS DE MÁQUINAS,143,637,"22,45",G,DISEÑO DE ELEMENTOS DE MÁQUINAS,2020,0S,"6,69"
MCTG1013,DISEÑO MECATRÓNICO,17,404,"4,21",G,DISEÑO MECATRÓNICO,2020,0S,"7,52"
MCTG1014,DISEÑO Y MANUFACTURA ASISTIDA POR COMPUTADORA,2,428,"0,47",G,DISEÑO Y MANUFACTURA ASISTIDA POR COMPUTADORA,2020,0S,"8,29"
MCTG1015,DISEÑO Y SIMULACIÓN DE MÁQUINAS,2,435,"0,46",G,DISEÑO Y SIMULACIÓN DE MÁQUINAS,2020,0S,"8,31"
MCTG1016,HIDRÁULICA Y NEUMÁTICA,2,354,"0,56",G,HIDRÁULICA Y NEUMÁTICA,2021,0S,"8,68"
MCTG1017,INTRODUCCIÓN A LA MANUFACTURA,11,482,"2,28",G,INTRODUCCIÓN A LA MANUFACTURA,2020,0S,"8,05"
MCTG1019,SISTEMAS BIOMECATRÓNICOS,5,335,"1,49",G,SISTEMAS BIOMECATRÓNICOS,2021,0S,"7,68"
MCTG1020,SISTEMAS FLEXIBLES DE MANUFACTURA,22,415,"5,30",G,SISTEMAS FLEXIBLES DE MANUFACTURA,2020,0S,"7,78"
MCTG1021,ROBOTS MÓVILES Y ARTICULADOS,29,458,"6,33",G,ROBOTS MÓVILES Y ARTICULADOS,2020,0S,"7,61"
MCTG1022,SISTEMAS DE MONITOREO Y CONTROL INDUSTRIAL,7,454,"1,54",G,SISTEMAS DE MONITOREO Y CONTROL INDUSTRIAL,2020,0S,"8,65"
MCTG1028,MATERIA INTEGRADORA DE MECATRÓNICA,12,352,"3,41",T,MATERIA INTEGRADORA DE MECATRÓNICA,2020,0S,"8,69"
MCTT3011,OLEOHIDRÁULICA Y NEUMÁTICA,0,20,"0,00",G,OLEOHIDRÁULICA Y NEUMÁTICA,2024,0S,"7,64"
MCTT3014,MANTENIMIENTO,0,20,"0,00",G,MANTENIMIENTO,2024,0S,"9,16"
MCTT3015,MONTAJE,0,20,"0,00",G,MONTAJE,2024,0S,"9,38"
MCTT3017,MATERIA INTEGRADORA DE TECNOLOGÍA,1,21,"4,76",T,MATERIA INTEGRADORA DE TECNOLOGÍA,2024,0S,"8,47"
MECG1041,DIBUJO PARA INGENIERÍA,236,1668,"14,15",G,DIBUJO PARA INGENIERÍA,2020,0S,"7,25"
MECG1042,DINÁMICA,103,573,"17,98",G,DINÁMICA,2020,0S,"6,83"
MECG1043,DISEÑO DE SISTEMAS MECÁNICOS,23,568,"4,05",G,DISEÑO DE SISTEMAS MECÁNICOS,2020,0S,"7,57"
MECG1044,DISEÑO DE SISTEMAS TERMOFLUIDOS,22,510,"4,31",G,DISEÑO DE SISTEMAS TERMOFLUIDOS,2020,0S,"7,49"
MECG1045,DISEÑO MECÁNICO,45,577,"7,80",G,DISEÑO MECÁNICO,2020,0S,"7,24"
MECG1046,INSTRUMENTACIÓN,47,475,"9,89",G,INSTRUMENTACIÓN,2020,0S,"6,94"
MECG1047,INTRODUCCIÓN A LA INGENIERÍA MECÁNICA,39,544,"7,17",G,INTRODUCCIÓN A LA INGENIERÍA MECÁNICA,2020,0S,"8,11"
MECG1048,MANTENIMIENTO INDUSTRIAL,18,648,"2,78",G,MANTENIMIENTO INDUSTRIAL,2020,0S,"8,00"
MECG1049,MECÁNICA DE FLUIDOS,275,1455,"18,90",G,MECÁNICA DE FLUIDOS,2020,0S,"6,79"
MECG1050,MECÁNICA DE SÓLIDOS,90,602,"14,95",G,MECÁNICA DE SÓLIDOS,2020,0S,"6,97"
MECG1051,MECÁNICA DE MAQUINARIA,240,1157,"20,74",G,MECÁNICA DE MAQUINARIA,2020,0S,"6,49"
MECG1052,MECÁNICA VECTORIAL,371,1387,"26,75",G,MECÁNICA VECTORIAL,2020,0S,"6,56"
MECG1053,PROCESOS DE MANUFACTURA,26,555,"4,68",G,PROCESOS DE MANUFACTURA,2020,0S,"6,96"
MECG1054,TERMOFLUIDOS,152,1168,"13,01",G,TERMOFLUIDOS,2020,0S,"7,15"
MECG1055,SISTEMAS DE CONTROL APLICADOS,178,1222,"14,57",G,SISTEMAS DE CONTROL APLICADOS,2020,0S,"6,80"
MECG1056,TURBOMAQUINARIA Y PLANTAS DE POTENCIA,52,418,"12,44",G,TURBOMAQUINARIA Y PLANTAS DE POTENCIA,2020,0S,"6,72"
MECG1057,PROCESOS DE MECANIZACIÓN,48,464,"10,34",G,PROCESOS DE MECANIZACIÓN,2020,0S,"7,36"
MECG1058,TRANSFERENCIA DE CALOR,105,584,"17,98",G,TRANSFERENCIA DE CALOR,2020,0S,"6,50"
MECG1059,TALLER MECÁNICO,29,508,"5,71",G,TALLER MECÁNICO,2020,0S,"7,82"
MECG1060,ESTÁTICA,90,1101,"8,17",G,ESTÁTICA,2020,0S,"7,47"
MECG1061,TERMODINÁMICA,61,612,"9,97",G,TERMODINÁMICA,2020,0S,"7,37"
MECG1064,TERMODINÁMICA I,26,418,"6,22",G,TERMODINÁMICA I,2020,0S,"7,51"
MECG1065,TERMODINÁMICA II,37,416,"8,89",G,TERMODINÁMICA II,2020,0S,"7,08"
MECG1066,MATERIA INTEGRADORA DE MECÁNICA,32,617,"5,19",T,MATERIA INTEGRADORA DE MECÁNICA,2020,0S,"8,56"
MECG1067,REOLOGÍA DE FLUIDOS,24,299,"8,03",G,REOLOGÍA DE FLUIDOS,2020,0S,"7,30"
MECG1068,TRANSFERENCIA DE CALOR Y MASA,20,272,"7,35",G,TRANSFERENCIA DE CALOR Y MASA,2020,0S,"7,27"
MECT3001,PROCESOS DE MANUFACTURA,0,20,"0,00",G,PROCESOS DE MANUFACTURA,2024,0S,"8,33"
MECT3002,ENSAMBLAJE,0,20,"0,00",G,ENSAMBLAJE,2024,0S,"7,49"
MECT3003,DIBUJO TÉCNICO,0,46,"0,00",G,DIBUJO TÉCNICO,2023,0S,"8,35"
MECT3004,TALLER BÁSICO,0,20,"0,00",G,TALLER BÁSICO,2023,0S,"8,06"
MECT3005,ELEMENTOS DE MÁQUINAS,0,20,"0,00",G,ELEMENTOS DE MÁQUINAS,2023,0S,"8,43"
MEDG1015,BIOGEOGRAFÍA,1,167,"0,60",G,BIOGEOGRAFÍA,2020,0S,"9,54"
MEDG1017,BOTÁNICA GENERAL,21,282,"7,45",G,BOTÁNICA GENERAL,2020,0S,"7,43"
MEDG1018,BOTÁNICA SISTEMÁTICA,4,173,"2,31",G,BOTÁNICA SISTEMÁTICA,2020,0S,"8,51"
MEDG1019,EMBRIOLOGÍA,0,197,"0,00",G,EMBRIOLOGÍA,2020,0S,"8,65"
MEDG1020,ENTOMOLOGÍA,4,205,"1,95",G,ENTOMOLOGÍA,2020,0S,"8,64"
MEDG1021,EVOLUCIÓN,0,171,"0,00",G,EVOLUCIÓN,2020,0S,"8,85"
MEDG1022,GENOTECNIA,1,43,"2,33",G,GENOTECNIA,2020,0S,"8,49"
MEDG1023,GENÉTICA,0,232,"0,00",G,GENÉTICA,2020,0S,"9,61"
MEDG1024,INMUNOLOGÍA,3,156,"1,92",G,INMUNOLOGÍA,2020,0S,"7,59"
MEDG1025,ZOOLOGÍA DE VERTEBRADOS,4,169,"2,37",G,ZOOLOGÍA DE VERTEBRADOS,2020,0S,"8,84"
MEDG1026,ZOOLOGÍA DE INVERTEBRADOS,4,183,"2,19",G,ZOOLOGÍA DE INVERTEBRADOS,2020,0S,"8,46"
MEDG2012,ANTROPOLOGÍA NUTRICIONAL,5,491,"1,02",G,ANTROPOLOGÍA NUTRICIONAL,2020,0S,"8,27"
MEDG2013,ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS,19,355,"5,35",G,ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS,2020,0S,"7,67"
MEDG2014,CONSEJERÍA NUTRICIONAL,3,238,"1,26",G,CONSEJERÍA NUTRICIONAL,2020,0S,"8,09"
MEDG2015,EPIDEMIOLOGÍA Y SALUD PÚBLICA,0,282,"0,00",G,EPIDEMIOLOGÍA Y SALUD PÚBLICA,2020,0S,"9,32"
MEDG2016,FARMACOLOGÍA Y NUTRICIÓN,2,351,"0,57",G,FARMACOLOGÍA Y NUTRICIÓN,2020,0S,"8,50"
MEDG2017,LEGISLACIÓN Y SOBERANÍA ALIMENTARIA,47,465,"10,11",G,LEGISLACIÓN Y SOBERANÍA ALIMENTARIA,2020,0S,"7,06"
MEDG2018,MORFOFISIOLOGÍA HUMANA I,7,389,"1,80",G,MORFOFISIOLOGÍA HUMANA I,2020,0S,"8,72"
MEDG2019,MORFOFISIOLOGÍA HUMANA II,11,356,"3,09",G,MORFOFISIOLOGÍA HUMANA II,2020,0S,"8,29"
MEDG2020,SALUD COMUNITARIA,4,288,"1,39",G,SALUD COMUNITARIA,2020,0S,"8,49"
MING1023,AMBIENTE Y GESTIÓN DE RESIDUOS MINEROS,0,65,"0,00",G,AMBIENTE Y GESTIÓN DE RESIDUOS MINEROS,2020,0S,"8,26"
MING1024,EXPLOTACIÓN SUBTERRÁNEA,1,44,"2,27",G,EXPLOTACIÓN SUBTERRÁNEA,2020,0S,"8,08"
MING1025,FUNDAMENTOS DE MINERÍA,2,51,"3,92",G,FUNDAMENTOS DE MINERÍA,2020,0S,"8,06"
MING1026,GEOMÁTICA MINERA,3,24,"12,50",G,GEOMÁTICA MINERA,2020,0S,"7,30"
MING1027,GEOTECNIA MINERA,2,43,"4,65",G,GEOTECNIA MINERA,2020,0S,"7,52"
MING1029,MINERALURGIA Y METALURGIA EXTRACTIVA,1,49,"2,04",G,MINERALURGIA Y METALURGIA EXTRACTIVA,2020,0S,"7,43"
MING1030,PERFORACIÓN Y VOLADURA,1,48,"2,08",G,PERFORACIÓN Y VOLADURA,2020,0S,"8,57"
MING1031,PLANEAMIENTO Y DISEÑO MINERO,0,64,"0,00",G,PLANEAMIENTO Y DISEÑO MINERO,2020,0S,"8,08"
MING1032,"VENTILACIÓN, DRENAJE Y SISTEMAS ELÉCTRICOS",0,50,"0,00",G,"VENTILACIÓN, DRENAJE Y SISTEMAS ELÉCTRICOS",2020,0S,"8,47"
MING1033,TOPOGRAFÍA MINERA,3,41,"7,32",G,TOPOGRAFÍA MINERA,2021,0S,"8,10"
