CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
ALIG1032,DESARROLLO DE NUEVOS PRODUCTOS ALIMENTICIOS,1,202,"0,50",G,DESARROLLO DE NUEVOS PRODUCTOS ALIMENTICIOS,2020,0S,"8,11"
ALIG1033,DISEÑO DE PLANTAS ALIMENTARIAS,0,212,"0,00",G,DISEÑO DE PLANTAS ALIMENTARIAS,2020,0S,"8,78"
ALIG1034,DISEÑO DE PROCESOS TÉRMICOS I,12,222,"5,41",G,DISEÑO DE PROCESOS TÉRMICOS I,2020,0S,"7,47"
ALIG1035,DISEÑO DE PROCESOS TÉRMICOS II,0,205,"0,00",G,DISEÑO DE PROCESOS TÉRMICOS II,2020,0S,"8,49"
ALIG1036,FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,3,183,"1,64",G,FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,2020,0S,"8,22"
ALIG1037,FUNDAMENTOS DE LA INGENIERÍA EN ALIMENTOS,9,169,"5,33",G,FUNDAMENTOS DE LA INGENIERÍA EN ALIMENTOS,2020,0S,"7,34"
ALIG1038,INGENIERÍA DE PROCESOS ALIMENTARIOS,3,211,"1,42",G,INGENIERÍA DE PROCESOS ALIMENTARIOS,2020,0S,"8,20"
ALIG1039,INOCUIDAD ALIMENTARIA,5,181,"2,76",G,INOCUIDAD ALIMENTARIA,2020,0S,"7,46"
ALIG1040,MATERIA INTEGRADORA DE ALIMENTOS,4,222,"1,80",T,MATERIA INTEGRADORA DE ALIMENTOS,2020,0S,"9,04"
ALIG1041,MICROBIOLOGÍA DE ALIMENTOS,56,230,"24,35",G,MICROBIOLOGÍA DE ALIMENTOS,2020,0S,"6,31"
ALIG1042,OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS,1,209,"0,48",G,OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS,2020,0S,"8,34"
ALIG1043,PROCESAMIENTO DE FARINÁCEOS Y OLEAGINOSAS,0,172,"0,00",G,PROCESAMIENTO DE FARINÁCEOS Y OLEAGINOSAS,2020,0S,"8,56"
ALIG1044,PROCESAMIENTO DE FRUTAS Y VEGETALES,1,180,"0,56",G,PROCESAMIENTO DE FRUTAS Y VEGETALES,2020,0S,"8,32"
ALIG1045,PROCESAMIENTO DE LÁCTEOS,0,189,"0,00",G,PROCESAMIENTO DE LÁCTEOS,2020,0S,"8,18"
ALIG1046,"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",0,202,"0,00",G,"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",2020,0S,"8,16"
ALIG1047,SANIDAD E HIGIENE ALIMENTARIA,2,180,"1,11",G,SANIDAD E HIGIENE ALIMENTARIA,2020,0S,"7,65"
ALIG1050,QUÍMICA ALIMENTARIA,14,202,"6,93",G,QUÍMICA ALIMENTARIA,2020,0S,"7,48"
ARQG2020,ANTROPOLOGÍA BIOLÓGICA,17,82,"20,73",G,ANTROPOLOGÍA BIOLÓGICA,2020,0S,"7,10"
ARQG2021,ARQUEOLOGÍA DE MESOAMÉRICA,2,51,"3,92",G,ARQUEOLOGÍA DE MESOAMÉRICA,2020,0S,"7,90"
ARQG2022,BIOARQUEOLOGÍA,4,52,"7,69",G,BIOARQUEOLOGÍA,2020,0S,"7,77"
